"BehaviorSpace results (NetLogo 3D 5.1.0)"
"/home/ec2-user/swarmSimRescue/rescueSwarm3D.nlogo3d"
"SwarmModSizeExperiment"
"09/14/2014 03:16:13:555 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","swarmBehaviour","swarmModificationSize","[step]","rescued","totalVictims"
"591","false","0.2","4247","13","13"
"584","false","0.2","8151","9","9"
"564","false","0.2","20000","10","13"
"583","false","0.2","13195","12","12"
"589","false","0.2","7603","20","20"
"590","false","0.2","9425","13","13"
"598","false","0.2","3624","4","4"
"567","false","0.2","20000","9","10"
"593","false","0.2","9779","18","18"
"554","false","0.2","20000","12","13"
"580","false","0.2","20000","15","17"
"603","false","0.2","5094","12","12"
"596","false","0.2","6876","11","11"
"582","false","0.2","20000","15","16"
"579","false","0.2","14511","15","15"
"575","false","0.2","20000","9","11"
"587","false","0.2","17202","10","10"
"600","false","0.2","7922","7","7"
"586","false","0.2","20000","11","14"
"607","false","0.2","7043","5","5"
"599","false","0.2","12963","16","16"
"585","false","0.2","20000","12","14"
"608","false","0.2","10188","11","11"
"560","false","0.2","20000","13","15"
"588","false","0.2","20000","19","20"
"616","false","0.2","6184","8","8"
"595","false","0.2","14015","17","17"
"602","false","0.2","8286","13","13"
"570","false","0.2","20000","9","10"
"605","false","0.2","10771","12","12"
"612","false","0.2","8972","16","16"
"594","false","0.2","20000","10","11"
"618","false","0.2","7896","13","13"
"606","false","0.2","20000","6","10"
"621","false","0.2","12949","10","10"
"577","false","0.2","17072","14","14"
"619","false","0.2","12926","19","19"
"601","false","0.2","7898","5","5"
"604","false","0.2","20000","4","14"
"611","false","0.2","11458","11","11"
"613","false","0.2","20000","12","14"
"636","false","0.2","6798","17","17"
"622","false","0.2","11727","20","20"
"631","false","0.2","9844","14","14"
"592","false","0.2","17946","13","13"
"625","false","0.2","11345","13","13"
"610","false","0.2","16495","16","16"
"624","false","0.2","15347","15","15"
"597","false","0.2","14832","10","10"
"634","false","0.2","10374","11","11"
"623","false","0.2","20000","5","19"
"615","false","0.2","20000","14","16"
"617","false","0.2","16304","10","10"
"627","false","0.2","20000","12","14"
"642","false","0.2","5675","12","12"
"649","false","0.2","6480","11","11"
"643","false","0.2","6508","10","10"
"628","false","0.2","9411","10","10"
"637","false","0.2","13886","9","9"
"638","false","0.2","8357","6","6"
"645","false","0.2","5847","10","10"
"626","false","0.2","20000","8","12"
"657","false","0.2","4313","13","13"
"641","false","0.2","9458","13","13"
"651","false","0.2","6224","11","11"
"654","false","0.2","6573","13","13"
"653","false","0.2","6482","15","15"
"629","false","0.2","20000","13","14"
"640","false","0.2","8173","10","10"
"609","false","0.2","20000","10","12"
"655","false","0.2","9787","12","12"
"644","false","0.2","8871","21","21"
"658","false","0.2","8849","20","20"
"665","false","0.2","6370","14","14"
"652","false","0.2","10918","6","6"
"666","false","0.2","6727","8","8"
"656","false","0.2","9019","10","10"
"648","false","0.2","20000","4","13"
"647","false","0.2","20000","7","10"
"632","false","0.2","18099","11","11"
"650","false","0.2","20000","11","12"
"660","false","0.2","11619","13","13"
"620","false","0.2","20000","18","19"
"669","false","0.2","8581","12","12"
"672","false","0.2","8841","11","11"
"633","false","0.2","10678","14","14"
"681","false","0.2","4703","8","8"
"646","false","0.2","20000","18","19"
"670","false","0.2","9873","12","12"
"674","false","0.2","10099","12","12"
"694","false","0.2","965","2","2"
"630","false","0.2","20000","10","11"
"663","false","0.2","20000","6","7"
"678","false","0.2","10409","11","11"
"667","false","0.2","20000","13","14"
"662","false","0.2","8951","18","18"
"673","false","0.2","9155","13","13"
"677","false","0.2","9440","9","9"
"614","false","0.2","20000","12","13"
"661","false","0.2","20000","10","11"
"683","false","0.2","9407","11","11"
"682","false","0.2","8523","16","16"
"639","false","0.2","20000","14","15"
"689","false","0.2","9459","6","6"
"668","false","0.2","20000","17","19"
"659","false","0.2","10205","11","11"
"691","false","0.2","9368","8","8"
"675","false","0.2","20000","9","10"
"680","false","0.2","12468","18","18"
"635","false","0.2","20000","13","14"
"693","false","0.2","8999","11","11"
"688","false","0.2","12753","14","14"
"704","false","0.2","3976","11","11"
"679","false","0.2","20000","10","11"
"699","false","0.2","9504","15","15"
"707","false","0.2","8364","13","13"
"684","false","0.2","13011","12","12"
"686","false","0.2","20000","4","15"
"687","false","0.2","11983","11","11"
"685","false","0.2","20000","13","15"
"692","false","0.2","14861","13","13"
"697","false","0.2","20000","10","12"
"711","false","0.2","7838","14","14"
"705","false","0.2","9432","13","13"
"703","false","0.2","9585","13","13"
"664","false","0.2","20000","8","9"
"713","false","0.2","6393","14","14"
"716","false","0.2","6772","13","13"
"698","false","0.2","20000","10","11"
"702","false","0.2","10639","16","16"
"722","false","0.2","4925","14","14"
"715","false","0.2","8298","17","17"
"717","false","0.2","5043","3","3"
"695","false","0.2","20000","11","13"
"720","false","0.2","7266","16","16"
"719","false","0.2","8027","7","7"
"671","false","0.2","20000","9","17"
"676","false","0.2","20000","13","14"
"725","false","0.2","5366","10","10"
"706","false","0.2","20000","8","9"
"732","false","0.2","5108","9","9"
"712","false","0.2","12237","17","17"
"733","false","0.2","7326","8","8"
"736","false","0.2","4603","9","9"
"709","false","0.2","20000","9","10"
"729","false","0.2","6972","7","7"
"708","false","0.2","13987","17","17"
"745","false","0.2","6345","9","9"
"726","false","0.2","12654","15","15"
"727","false","0.2","13916","14","14"
"690","false","0.2","20000","14","15"
"718","false","0.2","20000","11","12"
"723","false","0.2","14679","16","16"
"734","false","0.2","13129","15","15"
"748","false","0.2","4645","6","6"
